399 unique permissions found.

0                                                            | 1                              | 2
com.apple.icloud.searchpartyuseragent                        | iCloud/CloudKit                | ✅ Allowed
com.apple.iCloudNotificationAgent                            | iCloud/CloudKit                | ✅ Allowed
com.apple.identityservicesd                                  | iCloud Drive                   | ✅ Allowed
com.apple.identityservicesd                                  | iCloud/CloudKit                | ✅ Allowed
com.apple.imagent                                            | iCloud Drive                   | ✅ Allowed
com.apple.imagent                                            | iCloud/CloudKit                | ✅ Allowed
com.apple.iMovieApp                                          | Desktop Folder                 | ✅ Allowed
com.apple.iMovieApp                                          | Downloads Folder               | ✅ Allowed
com.apple.iMovieApp                                          | Microphone                     | ✅ Allowed
com.apple.iMovieApp                                          | Photos                         | ✅ Allowed
com.apple.iMovieApp                                          | Removable Volumes              | ✅ Allowed
com.apple.imtransferagent                                    | iCloud/CloudKit                | ✅ Allowed
com.apple.Internet-Accounts-Settings.extension               | iCloud Drive                   | ✅ Allowed
com.apple.iWork.Keynote                                      | iCloud Drive                   | ❌ Denied
com.apple.iWork.Keynote                                      | iCloud/CloudKit                | ✅ Allowed
com.apple.iWork.Numbers                                      | iCloud Drive                   | ✅ Allowed
com.apple.iWork.Numbers                                      | iCloud/CloudKit                | ✅ Allowed
com.apple.iWork.Pages                                        | iCloud Drive                   | ❌ Denied
com.apple.iWork.Pages                                        | iCloud/CloudKit                | ✅ Allowed
com.apple.knowledge-agent                                    | iCloud/CloudKit                | ✅ Allowed
com.apple.mail                                               | iCloud Drive                   | ✅ Allowed
com.apple.mail                                               | iCloud/CloudKit                | ✅ Allowed
com.apple.Maps                                               | iCloud/CloudKit                | ✅ Allowed
com.apple.mlhost.CloudWorker                                 | iCloud/CloudKit                | ✅ Allowed
com.apple.mobilenotes                                        | iCloud/CloudKit                | ✅ Allowed
com.apple.MobileSMS                                          | FocusStatus                    | ❌ Denied
com.apple.MobileSMS                                          | iCloud Drive                   | ✅ Allowed
com.apple.MobileSMS                                          | iCloud/CloudKit                | ✅ Allowed
com.apple.mstreamd                                           | iCloud/CloudKit                | ✅ Allowed
com.apple.musicrecognition.mac                               | iCloud/CloudKit                | ✅ Allowed
com.apple.news                                               | iCloud/CloudKit                | ✅ Allowed
com.apple.Notes                                              | iCloud Drive                   | ✅ Allowed
com.apple.Notes                                              | iCloud/CloudKit                | ✅ Allowed
com.apple.Notes.SharingExtension                             | iCloud/CloudKit                | ✅ Allowed
com.apple.Passbook                                           | iCloud/CloudKit                | ✅ Allowed
com.apple.passd                                              | iCloud/CloudKit                | ✅ Allowed
com.apple.photolibraryd                                      | iCloud/CloudKit                | ✅ Allowed
com.apple.Photos                                             | iCloud Drive                   | ✅ Allowed
com.apple.Preview                                            | iCloud Drive                   | ❌ Denied
com.apple.protectedcloudstorage.protectedcloudkeysyncing     | iCloud/CloudKit                | ✅ Allowed
com.apple.QuickTimePlayerX                                   | iCloud Drive                   | ❌ Denied
com.apple.remindd                                            | iCloud/CloudKit                | ✅ Allowed
com.apple.routined                                           | iCloud/CloudKit                | ✅ Allowed
com.apple.Safari                                             | iCloud/CloudKit                | ✅ Allowed
com.apple.Safari.History                                     | iCloud/CloudKit                | ✅ Allowed
com.apple.ScreenTimeAgent                                    | iCloud/CloudKit                | ✅ Allowed
com.apple.security.cuttlefish                                | iCloud/CloudKit                | ✅ Allowed
com.apple.securityd                                          | iCloud/CloudKit                | ✅ Allowed
com.apple.share.CloudSharing.invite                          | iCloud/CloudKit                | ✅ Allowed
com.apple.shortcuts                                          | iCloud Drive                   | ✅ Allowed
com.apple.shortcuts                                          | iCloud/CloudKit                | ✅ Allowed
com.apple.shortcuts.droplet.04D6FC24-FDD8-4DBF-B1F4-6EB736639645 | iCloud Drive                   | ✅ Allowed
com.apple.shortcuts.droplet.0B18463D-7752-468B-9CBE-AC9540171910 | iCloud Drive                   | ✅ Allowed
com.apple.shortcuts.droplet.FCF2AE55-F834-42E7-BC73-37AC01534A92 | iCloud Drive                   | ❌ Denied
com.apple.shortcuts.events                                   | iCloud Drive                   | ✅ Allowed
com.apple.siriknowledged                                     | iCloud/CloudKit                | ✅ Allowed
com.apple.sociallayerd                                       | iCloud/CloudKit                | ✅ Allowed
com.apple.Spotlight                                          | iCloud Drive                   | ✅ Allowed
com.apple.StatusKitAgent                                     | iCloud/CloudKit                | ✅ Allowed
com.apple.stickersd                                          | iCloud/CloudKit                | ✅ Allowed
com.apple.stocks-widget-container                            | iCloud/CloudKit                | ✅ Allowed
com.apple.stocks.detailintents                               | iCloud/CloudKit                | ✅ Allowed
com.apple.stocks.widget                                      | iCloud/CloudKit                | ✅ Allowed
com.apple.suggestd                                           | iCloud/CloudKit                | ✅ Allowed
com.apple.syncdefaultsd                                      | iCloud/CloudKit                | ✅ Allowed
com.apple.systemevents                                       | AppBundles                     | ✅ Allowed
com.apple.systemevents                                       | Downloads Folder               | ✅ Allowed
com.apple.systempreferences                                  | iCloud/CloudKit                | ✅ Allowed
com.apple.systempreferences.AppleIDSettings                  | iCloud/CloudKit                | ✅ Allowed
com.apple.Terminal                                           | AddressBook                    | ✅ Allowed
com.apple.Terminal                                           | Automation                     | ✅ Allowed
com.apple.Terminal                                           | Calendar                       | ❌ Denied
com.apple.Terminal                                           | Desktop Folder                 | ✅ Allowed
com.apple.Terminal                                           | DeveloperTool                  | ❌ Denied
com.apple.Terminal                                           | Documents Folder               | ✅ Allowed
com.apple.Terminal                                           | Downloads Folder               | ✅ Allowed
com.apple.Terminal                                           | FileProviderDomain             | ✅ Allowed
com.apple.Terminal                                           | Full Disk Access               | ❌ Denied
com.apple.Terminal                                           | Microphone                     | ❌ Denied
com.apple.Terminal                                           | Network Volumes                | ✅ Allowed
com.apple.Terminal                                           | Photos                         | ✅ Allowed
com.apple.Terminal                                           | Reminders                      | ❌ Denied
com.apple.Terminal                                           | Removable Volumes              | ✅ Allowed
com.apple.TextEdit                                           | iCloud Drive                   | ✅ Allowed
com.apple.textinput.KeyboardServices                         | iCloud/CloudKit                | ✅ Allowed
com.apple.transparencyd                                      | iCloud/CloudKit                | ✅ Allowed
com.apple.triald                                             | iCloud/CloudKit                | ✅ Allowed
com.apple.TrustedPeersHelper                                 | iCloud/CloudKit                | ✅ Allowed
com.apple.universalcontrol                                   | iCloud Drive                   | ✅ Allowed
com.apple.upload-request-proxy.com.apple.photos.cloud        | iCloud/CloudKit                | ✅ Allowed
com.apple.UsageTrackingAgent                                 | iCloud/CloudKit                | ✅ Allowed
com.apple.voicebankingd                                      | iCloud/CloudKit                | ❌ Denied
com.apple.voicememod                                         | iCloud/CloudKit                | ✅ Allowed
com.apple.VoiceMemos                                         | iCloud Drive                   | ✅ Allowed
com.apple.VoiceMemos                                         | iCloud/CloudKit                | ✅ Allowed
com.apple.weather                                            | iCloud Drive                   | ❌ Denied
com.apple.weather                                            | iCloud/CloudKit                | ✅ Allowed
com.apple.weather.menu                                       | iCloud Drive                   | ✅ Allowed
com.apple.weather.widget                                     | iCloud Drive                   | ✅ Allowed
com.apple.wifi.WiFiAgent                                     | iCloud Drive                   | ✅ Allowed
com.apple.willowd                                            | iCloud/CloudKit                | ✅ Allowed
com.bresink.system.tinkertool                                | Full Disk Access               | ❌ Denied
com.bresink.system.tinkertool                                | MediaLibrary                   | ✅ Allowed
com.cisco.webex.Cisco-WebEx-Add-On                           | Downloads Folder               | ✅ Allowed
com.derlien.DiskInventoryX                                   | AddressBook                    | ✅ Allowed
com.derlien.DiskInventoryX                                   | Calendar                       | ❓ Unknown (4)
com.derlien.DiskInventoryX                                   | Desktop Folder                 | ✅ Allowed
com.derlien.DiskInventoryX                                   | Documents Folder               | ✅ Allowed
com.derlien.DiskInventoryX                                   | Downloads Folder               | ✅ Allowed
com.derlien.DiskInventoryX                                   | Photos                         | ✅ Allowed
com.derlien.DiskInventoryX                                   | Reminders                      | ✅ Allowed
com.DigiDNA.iMazing3Mac                                      | Full Disk Access               | ❌ Denied
com.docker.docker                                            | Automation                     | ✅ Allowed
com.docker.docker                                            | Desktop Folder                 | ✅ Allowed
com.dosdude1.macOS-Catalina-Patcher                          | Downloads Folder               | ✅ Allowed
com.duckduckgo.macos.browser                                 | Camera                         | ✅ Allowed
com.duckduckgo.macos.browser                                 | Microphone                     | ✅ Allowed
com.facebook.archon.developerID                              | iCloud Drive                   | ✅ Allowed
com.flightyapp.flighty                                       | iCloud Drive                   | ✅ Allowed
com.flightyapp.flighty                                       | iCloud/CloudKit                | ✅ Allowed
com.getdropbox.dropbox                                       | Removable Volumes              | ✅ Allowed
com.github.atom                                              | Desktop Folder                 | ✅ Allowed
com.github.atom                                              | Downloads Folder               | ✅ Allowed
com.github.GitHubClient                                      | Automation                     | ✅ Allowed
com.google.android.studio                                    | Full Disk Access               | ❌ Denied
com.google.Chrome                                            | AppData                        | ❓ Unknown (5)
com.google.Chrome                                            | Automation                     | ❌ Denied
com.google.Chrome                                            | BluetoothAlways                | ✅ Allowed
com.google.Chrome                                            | Camera                         | ✅ Allowed
com.google.Chrome                                            | Downloads Folder               | ✅ Allowed
com.google.Chrome                                            | Full Disk Access               | ❌ Denied
com.google.Chrome                                            | Microphone                     | ✅ Allowed
com.google.Chrome                                            | Photos                         | ✅ Allowed
com.google.Chrome                                            | Screen Recording               | ✅ Allowed
com.google.Chrome                                            | WebBrowserPublicKeyCredential  | ✅ Allowed
com.google.drivefs                                           | Accessibility                  | ❌ Denied
com.google.drivefs                                           | AppData                        | ❓ Unknown (5)
com.google.drivefs                                           | Desktop Folder                 | ✅ Allowed
com.google.drivefs                                           | Documents Folder               | ✅ Allowed
com.google.drivefs                                           | Downloads Folder               | ✅ Allowed
com.google.drivefs                                           | FileProviderDomain             | ✅ Allowed
com.google.drivefs                                           | Full Disk Access               | ❌ Denied
com.google.drivefs                                           | Removable Volumes              | ✅ Allowed
com.google.GoogleDrive                                       | Automation                     | ✅ Allowed
com.google.GoogleDrive                                       | Desktop Folder                 | ✅ Allowed
com.google.GoogleDrive                                       | Documents Folder               | ✅ Allowed
com.google.GoogleDrive                                       | Downloads Folder               | ✅ Allowed
com.google.GoogleDrive                                       | Photos                         | ✅ Allowed
com.google.GoogleDrive                                       | Removable Volumes              | ✅ Allowed
com.google.GoogleUpdater                                     | Full Disk Access               | ❌ Denied
com.google.Keystone.Agent                                    | Automation                     | ❌ Denied
com.google.Keystone.Agent                                    | Full Disk Access               | ❌ Denied
com.haystacksoftware.Arq                                     | Full Disk Access               | ✅ Allowed
com.hnc.Discord                                              | Accessibility                  | ✅ Allowed
com.hnc.Discord                                              | Camera                         | ✅ Allowed
com.hnc.Discord                                              | Input Monitoring (Listen)      | ❌ Denied
com.hnc.Discord                                              | Microphone                     | ✅ Allowed
com.ikryanov.clipbook                                        | Accessibility                  | ✅ Allowed
com.kishanbagaria.jack                                       | Accessibility                  | ✅ Allowed
com.kishanbagaria.jack                                       | AddressBook                    | ✅ Allowed
com.kishanbagaria.jack                                       | Automation                     | ✅ Allowed
com.kishanbagaria.jack                                       | Full Disk Access               | ❌ Denied
com.kishanbagaria.jack                                       | Microphone                     | ✅ Allowed
com.knollsoft.Rectangle                                      | Accessibility                  | ✅ Allowed
com.LGSI.OnScreen-Control                                    | Accessibility                  | ✅ Allowed
com.lwouis.alt-tab-macos                                     | Accessibility                  | ✅ Allowed
com.lwouis.alt-tab-macos                                     | Screen Recording               | ✅ Allowed
com.macenhance.MacForge                                      | Downloads Folder               | ✅ Allowed
com.macenhance.MacForge                                      | Full Disk Access               | ❌ Denied
com.macpaw.CleanMyMac5                                       | AppData                        | ❓ Unknown (5)
com.macpaw.CleanMyMac5                                       | BluetoothAlways                | ✅ Allowed
com.macpaw.CleanMyMac5                                       | FileProviderDomain             | ✅ Allowed
com.macpaw.CleanMyMac5                                       | Full Disk Access               | ✅ Allowed
com.macpaw.CleanMyMac5                                       | MediaLibrary                   | ✅ Allowed
com.macpaw.CleanMyMac5                                       | Photos                         | ✅ Allowed
com.mathpix.snipping-tool-noappstore                         | Screen Recording               | ✅ Allowed
com.mathworks.matlab                                         | AppData                        | ❓ Unknown (5)
com.mathworks.matlab                                         | Documents Folder               | ✅ Allowed
com.mediaatelier.CheatSheet                                  | Input Monitoring (Listen)      | ✅ Allowed
com.microsoft.VSCode                                         | Accessibility                  | ✅ Allowed
com.microsoft.VSCode                                         | AppData                        | ❓ Unknown (5)
com.microsoft.VSCode                                         | Automation                     | ✅ Allowed
com.microsoft.VSCode                                         | Desktop Folder                 | ✅ Allowed
com.microsoft.VSCode                                         | Documents Folder               | ✅ Allowed
com.microsoft.VSCode                                         | Downloads Folder               | ✅ Allowed
com.microsoft.VSCode                                         | FileProviderDomain             | ✅ Allowed
com.microsoft.VSCode                                         | Full Disk Access               | ✅ Allowed
com.microsoft.VSCode                                         | Input Monitoring               | ✅ Allowed
com.microsoft.VSCode                                         | MediaLibrary                   | ❌ Denied
com.microsoft.VSCode                                         | Network Volumes                | ✅ Allowed
com.microsoft.VSCode                                         | Reminders                      | ✅ Allowed
com.microsoft.VSCode                                         | Removable Volumes              | ✅ Allowed
com.microsoft.VSCode                                         | Screen Recording               | ✅ Allowed
com.mitchellh.ghostty                                        | Accessibility                  | ✅ Allowed
com.mitchellh.ghostty                                        | Automation                     | ✅ Allowed
com.mitchellh.ghostty                                        | Desktop Folder                 | ✅ Allowed
com.mitchellh.ghostty                                        | Documents Folder               | ✅ Allowed
com.mitchellh.ghostty                                        | Downloads Folder               | ✅ Allowed
com.mitchellh.ghostty                                        | FileProviderDomain             | ✅ Allowed
com.mitchellh.ghostty                                        | Full Disk Access               | ✅ Allowed
com.mitchellh.ghostty                                        | Input Monitoring               | ✅ Allowed
com.mitchellh.ghostty                                        | MediaLibrary                   | ✅ Allowed
com.mitchellh.ghostty                                        | Network Volumes                | ✅ Allowed
com.mitchellh.ghostty                                        | Photos                         | ✅ Allowed
com.openai.chat                                              | Accessibility                  | ✅ Allowed
com.oracle.workbench.MySQLWorkbench                          | Desktop Folder                 | ✅ Allowed
com.parallels.desktop.console                                | BluetoothAlways                | ✅ Allowed
com.parallels.desktop.console                                | Camera                         | ✅ Allowed
com.parallels.desktop.console                                | Desktop Folder                 | ✅ Allowed
com.parallels.desktop.console                                | Documents Folder               | ✅ Allowed
com.parallels.desktop.console                                | Downloads Folder               | ✅ Allowed
com.parallels.desktop.console                                | Microphone                     | ✅ Allowed
com.parallels.webinstaller                                   | Downloads Folder               | ✅ Allowed
com.raycast.macos                                            | Accessibility                  | ✅ Allowed
com.raycast.macos                                            | AddressBook                    | ✅ Allowed
com.raycast.macos                                            | Automation                     | ❌ Denied
com.raycast.macos                                            | Automation                     | ✅ Allowed
com.raycast.macos                                            | BluetoothAlways                | ✅ Allowed
com.raycast.macos                                            | Calendar                       | ✅ Allowed
com.raycast.macos                                            | Camera                         | ✅ Allowed
com.raycast.macos                                            | Desktop Folder                 | ✅ Allowed
com.raycast.macos                                            | Documents Folder               | ✅ Allowed
com.raycast.macos                                            | Downloads Folder               | ✅ Allowed
com.raycast.macos                                            | FileProviderDomain             | ✅ Allowed
com.raycast.macos                                            | Full Disk Access               | ✅ Allowed
com.rdbrck.shift                                             | BluetoothAlways                | ✅ Allowed
com.Respondus.LockDownBrowserOEM                             | Desktop Folder                 | ✅ Allowed
com.Respondus.LockDownBrowserOEM                             | Downloads Folder               | ✅ Allowed
com.rogueamoeba.Airfoil                                      | AudioCapture                   | ✅ Allowed
com.rogueamoeba.Airfoil                                      | Microphone                     | ✅ Allowed
com.sbmpost.AutoRaise                                        | Accessibility                  | ✅ Allowed
com.sbmpost.AutoRaise                                        | Full Disk Access               | ❌ Denied
com.seifabdelaziz.messageswrapped                            | Full Disk Access               | ❌ Denied
com.solidstatenetworks.host                                  | Downloads Folder               | ✅ Allowed
